Region,Office Name,State/Territory,Station ID
"Alaska Region","Anchorage","Alaska","AFC"
"Alaska Region","Fairbanks","Alaska","AFG"
"Alaska Region","Juneau","Alaska","AJK"
"Central Region","Denver/Boulder","Colorado","BOU"
"Central Region","Grand Junction","Colorado","GJT"
"Central Region","Pueblo","Colorado","PUB"
"Central Region","Chicago","Illinois","LOT"
"Central Region","Lincoln","Illinois","ILX"
"Central Region","Indianapolis","Indiana","IND"
"Central Region","Northern Indiana","Indiana","IWX"
"Central Region","Quad Cities","IL/IA","DVN"
"Central Region","Des Moines","Iowa","DMX"
"Central Region","Dodge City","Kansas","DDC"
"Central Region","Goodland","Kansas","GLD"
"Central Region","Topeka","Kansas","TOP"
"Central Region","Wichita","Kansas","ICT"
"Central Region","Jackson","Kentucky","JKL"
"Central Region","Louisville","Kentucky","LMK"
"Central Region","Paducah","Kentucky","PAH"
"Central Region","Detroit/Pontiac","Michigan","DTX"
"Central Region","Gaylord","Michigan","APX"
"Central Region","Grand Rapids","Michigan","GRR"
"Central Region","Marquette","Michigan","MQT"
"Central Region","Duluth","Minnesota","DLH"
"Central Region","Minneapolis/Twin Cities","Minnesota","MPX"
"Central Region","Kansas City/Pleasant Hill","Missouri","EAX"
"Central Region","Springfield","Missouri","SGF"
"Central Region","St. Louis","Missouri","LSX"
"Central Region","Hastings","Nebraska","GID"
"Central Region","North Platte","Nebraska","LBF"
"Central Region","Omaha/Valley","Nebraska","OAX"
"Central Region","Bismarck","North Dakota","BIS"
"Central Region","Grand Forks","North Dakota","FGF"
"Central Region","Aberdeen","South Dakota","ABR"
"Central Region","Rapid City","South Dakota","UNR"
"Central Region","Sioux Falls","South Dakota","FSD"
"Central Region","Green Bay","Wisconsin","GRB"
"Central Region","La Crosse","Wisconsin","ARX"
"Central Region","Milwaukee/Sullivan","Wisconsin","MKX"
"Central Region","Cheyenne","Wyoming","CYS"
"Central Region","Riverton","Wyoming","RIW"
"Eastern Region","Caribou","Maine","CAR"
"Eastern Region","Gray/Portland","Maine","GYX"
"Eastern Region","Boston","Massachusetts","BOX"
"Eastern Region","Mount Holly/Philadelphia","New Jersey","PHI"
"Eastern Region","Albany","New York","ALY"
"Eastern Region","Binghamton","New York","BGM"
"Eastern Region","Buffalo","New York","BUF"
"Eastern Region","New York/Upton","New York","OKX"
"Eastern Region","Newport/Morehead City","North Carolina","MHX"
"Eastern Region","Raleigh","North Carolina","RAH"
"Eastern Region","Wilmington","North Carolina","ILM"
"Eastern Region","Cleveland","Ohio","CLE"
"Eastern Region","Wilmington","Ohio","ILN"
"Eastern Region","Pittsburgh","Pennsylvania","PBZ"
"Eastern Region","State College","Pennsylvania","CTP"
"Eastern Region","Charleston","South Carolina","CHS"
"Eastern Region","Columbia","South Carolina","CAE"
"Eastern Region","Greenville-Spartanburg","South Carolina","GSP"
"Eastern Region","Burlington","Vermont","BTV"
"Eastern Region","Baltimore/Washington","Virginia","LWX"
"Eastern Region","Blacksburg","Virginia","RNK"
"Eastern Region","Wakefield","Virginia","AKQ"
"Eastern Region","Charleston","West Virginia","RLX"
"Pacific Region","Tiyan","Guam","GUM"
"Pacific Region","Honolulu","Hawaii","HFO"
"Southern Region","Birmingham","Alabama","BMX"
"Southern Region","Huntsville","Alabama","HUN"
"Southern Region","Mobile/Pensacola","Alabama","MOB"
"Southern Region","North Little Rock","Arkansas","LZK"
"Southern Region","Jacksonville","Florida","JAX"
"Southern Region","Key West","Florida","KEY"
"Southern Region","Melbourne","Florida","MLB"
"Southern Region","Miami","Florida","MFL"
"Southern Region","Tallahassee","Florida","TAE"
"Southern Region","Tampa","Florida","TBW"
"Southern Region","Peachtree City/Atlanta","Georgia","FFC"
"Southern Region","Lake Charles","Louisiana","LCH"
"Southern Region","New Orleans/Baton Rouge","Louisiana","LIX"
"Southern Region","Shreveport","Louisiana","SHV"
"Southern Region","Jackson","Mississippi","JAN"
"Southern Region","Albuquerque","New Mexico","ABQ"
"Southern Region","Norman/Oklahoma City","Oklahoma","OUN"
"Southern Region","Tulsa","Oklahoma","TSA"
"Southern Region","San Juan","Puerto Rico","SJU"
"Southern Region","Memphis","Tennessee","MEG"
"Southern Region","Morristown/Knoxville","Tennessee","MRX"
"Southern Region","Nashville","Tennessee","OHX"
"Southern Region","Amarillo","Texas","AMA"
"Southern Region","Austin/San Antonio","Texas","EWX"
"Southern Region","Brownsville","Texas","BRO"
"Southern Region","Corpus Christi","Texas","CRP"
"Southern Region","Fort Worth-Dallas","Texas","FWD"
"Southern Region","El Paso","Texas","EPZ"
"Southern Region","Houston/Galveston","Texas","HGX"
"Southern Region","Lubbock","Texas","LUB"
"Southern Region","Midland/Odessa","Texas","MAF"
"Southern Region","San Angelo","Texas","SJT"
"Western Region","Flagstaff","Arizona","FGZ"
"Western Region","Phoenix","Arizona","PSR"
"Western Region","Tucson","Arizona","TWC"
"Western Region","Eureka","California","EKA"
"Western Region","Los Angeles/Oxnard","California","LOX"
"Western Region","Sacramento","California","STO"
"Western Region","San Diego","California","SGX"
"Western Region","San Francisco Bay Area/Monterey","California","MTR"
"Western Region","San Joaquin Valley/Hanford","California","HNX"
"Western Region","Boise","Idaho","BOI"
"Western Region","Pocatello","Idaho","PIH"
"Western Region","Billings","Montana","BYZ"
"Western Region","Glasgow","Montana","GGW"
"Western Region","Great Falls","Montana","TFX"
"Western Region","Missoula","Montana","MSO"
"Western Region","Elko","Nevada","LKN"
"Western Region","Las Vegas","Nevada","VEF"
"Western Region","Reno","Nevada","REV"
"Western Region","Medford","Oregon","MFR"
"Western Region","Pendleton","Oregon","PDT"
"Western Region","Portland","Oregon","PQR"
"Western Region","Salt Lake City","Utah","SLC"
"Western Region","Seattle","Washington","SEW"
"Western Region","Spokane","Washington","OTX"